"";"COD6D";"benf_plano_media";"benf_plano_mediana"
"226";"312520";178,25;174
"227";"431697";1;1
"228";"421189";219,75;219
"229";"521385";32,5;32,5
"230";"314250";22,25;22,5
"231";"250057";5;5
"232";"430195";41,5;41,5
"233";"171845";7,75;7,5
"234";"421205";148;148
"235";"521260";57,5;57,5
"236";"520929";23,5;23
"237";"250410";7;7
"238";"421555";73,25;72,5
"239";"170025";42,25;42
"240";"354470";113,75;113,5
"241";"510450";39,75;40,5
"242";"250220";25,25;25
"243";"220793";20;14,5
"244";"412430";69,25;69
"245";"430515";33,25;34
"246";"170825";11,25;11,5
"247";"251394";5;5
"248";"430558";397,5;397
"249";"351495";523,25;541,5
"250";"420055";118,25;119,5
"251";"240165";9,75;10
"252";"430223";48,25;47,5
"253";"520145";89,5;89,5
"254";"421505";102,75;101
"255";"431333";153,75;152
"256";"220095";0;0
"257";"430222";162,75;163,5
"258";"171110";8,25;8
"259";"311380";68;67,5
"260";"432065";159,25;160
"261";"431308";1293,75;1295,5
"262";"432237";4,75;5
"263";"520280";52,75;53
"264";"410185";37,5;36
"265";"171525";21,25;21,5
"266";"430585";23;23
"267";"420445";64,75;64,5
"268";"430587";248,75;249
"269";"431795";30;28
"270";"315500";235,25;235,5
"271";"412830";166,75;170
"272";"312460";125,5;124,5
"273";"431213";102,5;102,5
"274";"172000";2,5;2,5
"275";"420555";93,25;90,5
"276";"520015";52,5;52
"277";"430843";130,5;130,5
"278";"520710";26,25;26
"279";"220385";4,5;4,5
"280";"421895";489,5;489,5
"281";"431514";60,5;61
"282";"431142";7,5;8
"283";"412590";322,75;322,5
"284";"510776";122,75;123
"285";"350315";121,75;126
"286";"251710";51;50
"287";"250530";7;7
"288";"310980";138;139
"289";"431087";15,5;16
"290";"421085";115,5;115,5
"291";"431445";63,5;63,5
"292";"354030";639,75;638,5
"293";"171900";9,75;9,5
"294";"241142";35;35
"295";"420253";64,5;66,5
"296";"431179";159,75;159,5
"297";"412020";95,75;97
"298";"314550";440;437,5
"299";"316750";301,25;299
"300";"353450";226,5;227
"301";"431505";201;201,5
"302";"354740";98,25;101
"303";"410810";321;321,5
"304";"431595";6,75;7
"305";"430655";34,75;35
"306";"317220";225;226,5
"307";"353690";412,5;413,5
"308";"220855";2,5;2,5
"309";"520393";37;37
"310";"221037";4;4
"311";"172097";5,25;5
"312";"170410";17,25;18
"313";"354920";138,5;139,5
"314";"430805";18;18
"315";"171870";8;8
"316";"510715";33,5;33
"317";"350775";212;212,5
"318";"411065";54,25;54
"319";"430786";318,5;321
"320";"431065";14,75;15
"321";"240960";82;82,5
"322";"316360";30,75;31
"323";"430355";71;71
"324";"431642";9,75;10
"325";"240590";8,5;9
"326";"420543";618,25;672
"327";"240550";20,75;20
"328";"290740";38,75;38,5
"329";"251365";39,25;34
"330";"221097";2,75;3,5
"331";"171245";1;1
"332";"411925";4,5;4,5
"333";"220710";9;9
"334";"313080";90,5;91,5
"335";"260545";733,75;727
"336";"310700";72;72,5
"337";"520570";155,75;156
"338";"352885";284;288
"339";"351090";175,25;178
"340";"420215";218;252
"341";"431843";312;313
"342";"430469";63,75;64,5
"343";"251385";935;919,5
"344";"355460";63,5;63,5
"345";"431973";22,5;22
"346";"420005";326,75;319
"347";"421315";102;102
"348";"220554";10,75;10,5
"349";"351530";954,25;962
"350";"314360";55,75;56,5
"351";"431123";6,75;7
"352";"521160";47,25;47
"353";"240640";19,25;19
"354";"351010";677;678
"355";"431647";46,25;46,5
"356";"431238";712,5;713
"357";"353380";86,75;86
